Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100
Happy Birthday Blues,KATHY YOUNG &amp; THE INNOCENTS,2/6/61,114,30,12,4,63248,0.41,0.281,0,-7.173,1,0.0325,0.936,3.17E-06,0.113,0.235,177.786,181573,3,0,0,0,0,0,18,0,1,1
Tenderly,BERT KAEMPFERT,3/27/61,87,31,7,8,101053,0.403,0.393,3,-9.815,1,0.0277,0.316,0.69,0.275,0.369,103.113,192453,3,0,0,0,0,1,51,0,0,7
Some Kind Of Wonderful,SOUL BROTHER SIX,9/2/67,129,129,2,13,197224,0.83,0.722,1,-4.845,1,0.0985,0.223,0,0.0974,0.679,125.819,157667,4,0,0,0,0,0,57.77835159,0,0,0
Daddy's Home,SHEP &amp; THE LIMELITES,3/27/61,88,2,14,43,576026,0.493,0.123,5,-13.875,1,0.0366,0.939,8.58E-06,0.146,0.273,144.64,174200,3,0,0,0,0,0,34,0,1,1
That's It - I Quit - I'm Movin',SAM COOKE,3/6/61,66,31,8,43,345397,0.646,0.57,10,-7.101,1,0.121,0.753,0,0.121,0.925,120.1,151133,4,0,0,1,0,6,73,0,3,17
Bewildered,JAMES BROWN,2/13/61,103,40,10,20,140736,0.468,0.4,5,-9.843,1,0.0322,0.461,0,0.112,0.43,104.929,146933,1,0,0,1,0,4,59,0,3,47
Just For Old Time's Sake,McGUIRE SISTERS,3/13/61,89,20,14,4,21848,0.454,0.353,11,-9.763,1,0.0294,0.913,0,0.616,0.347,124.759,169333,4,0,0,0,0,0,35,0,0,4
Shu Rah,FATS DOMINO,3/20/61,97,32,7,20,36730,0.693,0.607,0,-6.577,1,0.0299,0.00394,0.862,0.0836,0.875,113.108,105933,4,0,0,1,0,0,67,0,4,27
One Eyed Jacks,FERRANTE &amp; TEICHER,3/20/61,75,37,7,23,7127,0.358,0.294,7,-14.009,0,0.0295,0.85,0.87,0.246,0.239,94.612,183307,4,0,0,0,0,0,45,0,1,2
Spanish Harlem,ARETHA FRANKLIN,7/31/71,69,2,12,44,372583,0.688,0.808,2,-8.207,1,0.0552,0.124,0.00158,0.126,0.883,115.801,211000,4,0,0,1,18,44,75,0,12,28
Bye Bye Baby,BIG BROTHER AND THE HOLDING COMPANY,9/9/67,122,121,2,31,32806,0.616,0.367,0,-12.656,1,0.0362,0.216,0.123,0.0848,0.636,106.332,157160,1,0,0,0,0,0,59,0,0,2
Theme From Dixie,DUANE EDDY,3/20/61,93,39,7,3,164387,0.654,0.707,4,-9.314,1,0.0255,0.275,0.923,0.13,0.977,106.257,148733,4,0,0,0,1,2,47,0,2,14
Tonight I Fell In Love,TOKENS,3/6/61,93,15,14,13,618417,0.308,0.709,5,-9.29,1,0.0501,0.764,0.000192,0.112,0.578,136.517,102284,4,0,0,0,0,1,54,0,0,5
Like Long Hair,PAUL REVERE AND THE RAIDERS,3/20/61,119,38,7,3,27160,0.36,0.939,0,-10.377,1,0.0365,0.8,0.841,0.0841,0.7,85.483,115360,4,0,0,0,0,0,48,0,1,3
Brass Buttons,STRING-A-LONGS,3/27/61,80,35,7,4,364,0.713,0.355,11,-14.35,1,0.0745,0.789,0.721,0.104,0.932,133.416,124760,4,0,0,0,0,0,24,0,0,1
